"","subject","tdiff","agey","sex","edu","language","zAN","zBD","zCH","zKW","zOE","zOG","zRZ","zSC","zST","zTG","zTM","zUW","zWA","zWE","zWM","zXG","zZN","zZP","zZZ","zSpeed","zCapacity","zMemory","zTotal","g","grel","H0meanRT","H1meanRT","H2meanRT","H258errorRate","H0oddMean","H0evenMean","H1oddMean","H1evenMean","H2oddMean","H2evenMean","H258oddMean","H258evenMean","Hinter","Hslope","Hrsquare","Hrmse","S1log10mean","S2log10mean","S3log10mean","S4log10sd","S1oddMean","S1evenMean","S2oddMean","S2evenMean","S3oddMean","S3evenMean","S4oddMean","S4evenMean","S1mean","S2mean","S3mean","S4median","SiMedian","Sasymptote","Sslope"
"1",8,7,20,"female","Matura","Deutsch",-1.32232103813255,-0.911111096056482,-0.401129088100295,0.133965795885184,-0.697394260844562,-0.452007177573124,-0.881805188176832,-0.570684475802505,-0.387075772964778,-0.181537591062372,-1.15460719222901,-0.976832152972027,-1.16857136350956,-0.871869248779553,-0.043700306310605,-0.758424461304057,-1.1610971110209,-0.41586998494234,-0.138841261002825,-0.54938446692652,-0.96306837813247,-0.384893958595538,-0.632448934551509,-0.527673622380065,0.778242717853327,394,364,519,0,384,404,358,394,503,536,685,642,341,101,0.7705,54.23,2.1139,2.2287,2.4756,0.1078,2.1236,2.1041,2.2042,2.2532,2.4774,2.4737,2.3617,2.4954,130,169,299,298,0.365,118,0.129
"2",9,6,20,"female","Matura","Deutsch",2.30664970328952,0.442286939833243,1.39077603538423,0.133965795885184,-0.366921719120309,1.00832370381697,1.06556432076037,0.432933050608797,0.14646110328397,0.122017069402578,1.03901206006172,-0.291257293317348,0.950438042321111,0.973861500523576,-0.729458959184712,-0.467600043811524,0.873815351593048,1.77066292557924,-0.821338062076953,0.154885393824923,1.16560404054307,0.391418701990349,0.570636045452781,0.432625372615389,0.778242717853327,249,281,344,0.06,248,256,293,285,349,339,396,390,241,52,0.9768,7.93,2.1243,2.1826,2.3647,0.0902,2.1332,2.1155,2.1631,2.2021,2.3419,2.3876,2.7363,2.6597,133,152,232,519,0.6,49,0.317
"3",11,5,21,"female","Bachelor","Deutsch",-0.112664124325195,0.622740011285207,-0.998430795928471,1.34187838640795,-0.201685448258183,0.799705006475528,0.822143132143216,-0.068875712596854,0.946766417657091,1.33623571126238,-0.606202379156323,0.965629949382898,-0.638819012051894,0.302686682595166,0.642058346563502,-0.031363417572724,-0.75411461849811,1.33335634347493,0.543655540071302,0.648324729211308,-0.529851107092808,0.761371389472919,0.293281670530473,0.128866691657139,0.778242717853327,237,286,360,0.03,233,241,280,301,362,357,359,416,237,54,0.9706,9.24,1.9284,1.9823,2.0308,0.0371,1.9338,1.9229,1.9525,2.0121,2.0053,2.0563,2.1473,2.1599,85,96,107,145,0.233,68,0.098
"4",12,7,21,"female","Bachelor","Deutsch",0.492164332578484,0.171607332655298,0.196172619727882,1.94583468166934,-0.366921719120309,-0.0347697828902402,1.79582788661182,0.934741813814448,0.946766417657091,-3.21708419571188,1.31321446659807,1.53694233242846,-0.638819012051894,-0.871869248779553,0.642058346563502,0.259460999919809,-0.75411461849811,1.33335634347493,0.202407139534239,0.0981208310040113,0.257226600361479,0.369658202593328,0.241668544652939,0.139821765656183,0.778242717853327,252,303,409,0,243,303,311,312,440,376,405,418,251,65,0.9298,17.63,2.114,2.1059,2.1975,0.0414,2.1213,2.1066,2.0991,2.1128,2.1902,2.2049,2.3128,2.3546,130,128,158,214,0.222,94,0.109
"5",13,4,20,"female","Bachelor","Deutsch",-1.92714949503623,-0.27952534597461,-0.401129088100295,-0.319001425560853,-1.02786680256881,0.173848914451202,0.0918795662917672,-0.570684475802505,0.413229541408344,-1.09220157245722,0.490607246989042,-0.0627323400991212,-0.638819012051894,-1.20745665774376,-1.41521761205882,-0.322187835065257,-0.75411461849811,0.458743179266293,0.202407139534239,-0.491483902555832,-0.633548240416665,-0.229074249190417,-0.451368797387638,-0.390668817135878,0.778242717853327,220,269,332,0.12,216,223,281,266,343,334,454,369,209,70,0.9566,14.75,2.0403,2.0672,2.1547,0.0471,2.0505,2.0301,2.0574,2.0771,2.1483,2.1611,2.1666,2.2363,110,117,143,155,0.142,94,0.073
"6",14,8,20,"female","Matura","Deutsch",0.492164332578484,0.26183386838128,0.196172619727882,0.435943943515876,0.624495906052448,0.382467611792644,1.55240669799467,0.432933050608797,-0.653844211089151,1.33623571126238,1.31321446659807,0.165792613119105,2.00994274523645,0.134892978113063,-0.386579632747659,0.259460999919809,0.059850366547469,1.77066292557924,-1.50383486315108,0.745062854521077,0.750712930216191,-0.04270586525049,0.484356639828926,0.43999157592527,0.778242717853327,222,244,289,0,210,234,236,252,291,295,380,375,205,56,0.849,23.24,1.8234,1.905,2.0102,0.0391,1.8028,1.8439,1.8864,1.9235,2.0198,2.0006,2.069,2.0512,67,80,102,113,0.22,57,0.101
"7",15,6,19,"female","Bachelor","Deutsch",-0.112664124325195,-0.369751881700592,0.196172619727882,1.34187838640795,-1.35833934429307,2.05141719052418,-1.36864756541113,-1.57430200221381,1.48030329390584,1.03268105079743,1.31321446659807,0.851367472773785,-0.109066660594226,0.470480387077268,1.32781699943761,0.404873208666076,-0.75411461849811,0.89604976137061,0.884903940608366,-0.0528843575888886,-0.173460053217565,1.18516192882065,0.319605839338064,0.0674360432102663,0.778242717853327,223,265,337,0,210,235,261,269,328,347,417,385,213,65,0.9749,10.3,1.9991,2.0902,2.1808,0.0259,2.0177,1.9805,2.0785,2.1019,2.1748,2.1869,2.2768,2.3163,100,123,152,196,0.294,78,0.129
"8",16,7,20,"female","Bachelor","Deutsch",-0.112664124325195,0.622740011285207,0.196172619727882,1.34187838640795,0.128787093466069,0.382467611792644,1.06556432076037,0.432933050608797,-0.387075772964778,0.72912639033248,1.03901206006172,0.622842519555558,0.420685690863442,0.973861500523576,2.69933430518582,1.13193425239741,-0.75411461849811,2.20796950768356,2.59114594329368,0.83667174244158,0.203670779739757,1.41128384925242,0.817208790477919,0.491533821207549,0.778242717853327,218,261,355,0.03,212,232,261,270,343,367,446,355,207,73,0.9754,11.46,2.0144,2.0685,2.0076,0.0895,1.9643,2.0646,2.1063,2.0307,2.0096,2.0056,2.1319,2.2021,103,117,102,141,0.174,89,0.059
"9",17,7,21,"female","Matura","Deutsch",0.492164332578484,-0.189298810248628,-0.998430795928471,-0.620979573191545,-0.862630531706688,-0.243388480231682,1.55240669799467,-1.07249323900816,0.14646110328397,-0.485092251527323,-0.0577975660836406,-0.976832152972027,0.420685690863442,0.973861500523576,-1.41521761205882,-0.322187835065257,-1.1610971110209,0.89604976137061,0.884903940608366,-0.154630383957463,-0.396161448099874,0.207111702249337,-0.114560043269333,-0.156838264860898,0.778242717853327,230,291,369,0.09,221,239,285,297,363,375,476,458,216,88,0.954,19.02,2.0529,2.0488,2.0819,0.0772,2.055,2.0508,2.0483,2.0492,2.0736,2.0901,2.0306,2.1435,113,112,121,116,0.01,108,0.017
"10",18,5,20,"female","Bachelor","Deutsch",-0.717492581228873,-0.189298810248628,0.196172619727882,-0.620979573191545,-1.19310307343094,-0.0347697828902402,-0.151541622325383,-1.07249323900816,0.413229541408344,-0.485092251527323,-0.880404785692664,0.394317566337332,0.420685690863442,-0.70407554429745,0.642058346563502,-0.61301225255779,-0.347132125975321,-0.853176567046657,-0.138841261002825,-0.542171263880268,-0.400110736885615,-0.112595877877554,-0.351625959547813,-0.321923600152164,0.778242717853327,232,320,421,0,217,255,318,351,434,409,458,440,236,84,0.9829,10.93,1.8668,1.9299,2.0961,0.026,1.8882,1.8455,1.9372,1.9227,2.1163,2.076,2.266,2.3082,74,85,125,192,0.41,44,0.203
